--- 評估結果總結 ---
「黃志強」 -> 標記為 「人名」
「周冠廷」 -> 標記為 「人名」
「王小明」 -> 標記為 「人名」
「林育誠」 -> 標記為 「人名」
「李美華」 -> 標記為 「人名」
「趙冠廷」 -> 標記為 「人名」
「周建國」 -> 標記為 「人名」
「吳玉珍」 -> 標記為 「人名」
「徐志強」 -> 標記為 「人名」
「徐小明」 -> 標記為 「人名」
「陳美華」 -> 標記為 「人名」
「周大仁」 -> 標記為 「人名」
「周志強」 -> 標記為 「人名」
「吳大仁」 -> 標記為 「人名」
「陳小明」 -> 標記為 「人名」
「周大仁」 -> 標記為 「人名」
「王志強」 -> 標記為 「人名」
「黃建國」 -> 標記為 「人名」
「吳育誠」 -> 標記為 「人名」
「徐建國」 -> 標記為 「人名」
「吳建國」 -> 標記為 「人名」
「林建國」 -> 標記為 「人名」
「陳志強」 -> 標記為 「人名」
「趙玉珍」 -> 標記為 「人名」
「李大仁」 -> 標記為 「人名」
「林育誠」 -> 標記為 「人名」
「吳冠廷」 -> 標記為 「人名」
「周雅婷」 -> 標記為 「人名」
「趙雅婷」 -> 標記為 「人名」
「陳冠廷」 -> 標記為 「人名」
「徐大仁」 -> 標記為 「人名」
「林麗麗」 -> 標記為 「人名」
「王建國」 -> 標記為 「人名」
「王雅婷」 -> 標記為 「人名」
「陳玉珍」 -> 標記為 「人名」
「張建國」 -> 標記為 「人名」
「王志強」 -> 標記為 「人名」
「林冠廷」 -> 標記為 「人名」
「徐冠廷」 -> 標記為 「人名」
「吳建國」 -> 標記為 「人名」
「李建國」 -> 標記為 「人名」
「吳小明」 -> 標記為 「人名」
「陳雅婷」 -> 標記為 「人名」
「林建國」 -> 標記為 「人名」
「周玉珍」 -> 標記為 「人名」
「陳冠廷」 -> 標記為 「人名」
「林雅婷」 -> 標記為 「人名」
「王大仁」 -> 標記為 「人名」
「吳玉珍」 -> 標記為 「人名」
「吳麗麗」 -> 標記為 「人名」
「周玉珍」 -> 標記為 「人名」
「林玉珍」 -> 標記為 「人名」
「王冠廷」 -> 標記為 「人名」
「張雅婷」 -> 標記為 「人名」
「王小明」 -> 標記為 「人名」
「王玉珍」 -> 標記為 「人名」
「徐大仁」 -> 標記為 「人名」
「林大仁」 -> 標記為 「人名」
「林建國」 -> 標記為 「人名」
「林麗麗」 -> 標記為 「人名」
「陳小明」 -> 標記為 「人名」
「林育誠」 -> 標記為 「人名」
「張育誠」 -> 標記為 「人名」
「林雅婷」 -> 標記為 「人名」
「張小明」 -> 標記為 「人名」
「林育誠」 -> 標記為 「人名」
「吳玉珍」 -> 標記為 「人名」
「周小明」 -> 標記為 「人名」
「林美華」 -> 標記為 「人名」
「周志強」 -> 標記為 「人名」
「趙育誠」 -> 標記為 「人名」
「林育誠」 -> 標記為 「人名」
「周美華」 -> 標記為 「人名」
「黃玉珍」 -> 標記為 「人名」
「林建國」 -> 標記為 「人名」
「趙建國」 -> 標記為 「人名」
「王美華」 -> 標記為 「人名」
「張冠廷」 -> 標記為 「人名」
「徐雅婷」 -> 標記為 「人名」
「徐雅婷」 -> 標記為 「人名」
「黃麗麗」 -> 標記為 「人名」
「黃大仁」 -> 標記為 「人名」
「李建國」 -> 標記為 「人名」
「周美華」 -> 標記為 「人名」
「林冠廷」 -> 標記為 「人名」
「徐雅婷」 -> 標記為 「人名」
「張建國」 -> 標記為 「人名」
「趙小明」 -> 標記為 「人名」
「王育誠」 -> 標記為 「人名」
「吳冠廷」 -> 標記為 「人名」
「趙麗麗」 -> 標記為 「人名」
「王建國」 -> 標記為 「人名」
「黃育誠」 -> 標記為 「人名」
「趙雅婷」 -> 標記為 「人名」
「張育誠」 -> 標記為 「人名」
「陳建國」 -> 標記為 「人名」
「黃小明」 -> 標記為 「人名」
「黃育誠」 -> 標記為 「人名」
「陳冠廷」 -> 標記為 「人名」
「王大仁」 -> 標記為 「人名」
「張志強」 -> 標記為 「人名」
「黃建國」 -> 標記為 「人名」
「王美華」 -> 標記為 「人名」
「林建國」 -> 標記為 「人名」
「李小明」 -> 標記為 「人名」
「王育誠」 -> 標記為 「人名」
「徐志強」 -> 標記為 「人名」
「王冠廷」 -> 標記為 「人名」
「李美華」 -> 標記為 「人名」
「徐雅婷」 -> 標記為 「人名」
「黃玉珍」 -> 標記為 「人名」
「趙麗麗」 -> 標記為 「人名」
「周大仁」 -> 標記為 「人名」
「周育誠」 -> 標記為 「人名」
「周玉珍」 -> 標記為 「人名」
「徐育誠」 -> 標記為 「人名」
「黃雅婷」 -> 標記為 「人名」
「王大仁」 -> 標記為 「人名」
「張玉珍」 -> 標記為 「人名」
「陳冠廷」 -> 標記為 「人名」
「黃冠廷」 -> 標記為 「人名」
「黃志強」 -> 標記為 「人名」
「李大仁」 -> 標記為 「人名」
「吳雅婷」 -> 標記為 「人名」
「趙冠廷」 -> 標記為 「人名」
「周育誠」 -> 標記為 「人名」
「徐大仁」 -> 標記為 「人名」
「吳大仁」 -> 標記為 「人名」
「張小明」 -> 標記為 「人名」
「張大仁」 -> 標記為 「人名」
「李玉珍」 -> 標記為 「人名」
「李小明」 -> 標記為 「人名」
「徐育誠」 -> 標記為 「人名」
「吳大仁」 -> 標記為 「人名」
「黃冠廷」 -> 標記為 「人名」
「陳玉珍」 -> 標記為 「人名」
「林麗麗」 -> 標記為 「人名」
「林雅婷」 -> 標記為 「人名」
「李育誠」 -> 標記為 「人名」
「林大仁」 -> 標記為 「人名」
「徐建國」 -> 標記為 「人名」
「陳育誠」 -> 標記為 「人名」
「徐冠廷」 -> 標記為 「人名」
「趙玉珍」 -> 標記為 「人名」
「陳大仁」 -> 標記為 「人名」
「李麗麗」 -> 標記為 「人名」
「李冠廷」 -> 標記為 「人名」
「王建國」 -> 標記為 「人名」
「王育誠」 -> 標記為 「人名」
「趙志強」 -> 標記為 「人名」
「陳育誠」 -> 標記為 「人名」
「黃志強」 -> 標記為 「人名」
「陳雅婷」 -> 標記為 「人名」
「王育誠」 -> 標記為 「人名」
「陳建國」 -> 標記為 「人名」
「陳育誠」 -> 標記為 「人名」
「周玉珍」 -> 標記為 「人名」
「吳志強」 -> 標記為 「人名」
「吳雅婷」 -> 標記為 「人名」
「王大仁」 -> 標記為 「人名」
「王志強」 -> 標記為 「人名」
「黃雅婷」 -> 標記為 「人名」
「林建國」 -> 標記為 「人名」
「徐志強」 -> 標記為 「人名」
「王育誠」 -> 標記為 「人名」
「周冠廷」 -> 標記為 「人名」
「王育誠」 -> 標記為 「人名」
「趙麗麗」 -> 標記為 「人名」
「趙大仁」 -> 標記為 「人名」
「黃玉珍」 -> 標記為 「人名」
「陳志強」 -> 標記為 「人名」
「王麗麗」 -> 標記為 「人名」
「徐雅婷」 -> 標記為 「人名」
「王麗麗」 -> 標記為 「人名」
「徐玉珍」 -> 標記為 「人名」
「趙小明」 -> 標記為 「人名」
「趙冠廷」 -> 標記為 「人名」
「陳小明」 -> 標記為 「人名」
「王美華」 -> 標記為 「人名」
「陳大仁」 -> 標記為 「人名」
「徐大仁」 -> 標記為 「人名」
「王小明」 -> 標記為 「人名」
「趙雅婷」 -> 標記為 「人名」
「李育誠」 -> 標記為 「人名」
「黃麗麗」 -> 標記為 「人名」
「王育誠」 -> 標記為 「人名」
「吳大仁」 -> 標記為 「人名」
「李美華」 -> 標記為 「人名」
「黃雅婷」 -> 標記為 「人名」
「陳育誠」 -> 標記為 「人名」
「張大仁」 -> 標記為 「人名」
「徐小明」 -> 標記為 「人名」
「李麗麗」 -> 標記為 「人名」
「林大仁」 -> 標記為 「人名」
「林美華」 -> 標記為 「人名」
「黃玉珍」 -> 標記為 「人名」
「黃建國」 -> 標記為 「人名」
「陳建國」 -> 標記為 「人名」
「王麗麗」 -> 標記為 「人名」
「張玉珍」 -> 標記為 「人名」
「周大仁」 -> 標記為 「人名」
「黃玉珍」 -> 標記為 「人名」
「吳育誠」 -> 標記為 「人名」
「陳小明」 -> 標記為 「人名」
「吳冠廷」 -> 標記為 「人名」
「林育誠」 -> 標記為 「人名」
「趙雅婷」 -> 標記為 「人名」
「徐小明」 -> 標記為 「人名」
「李育誠」 -> 標記為 「人名」
「吳麗麗」 -> 標記為 「人名」
「徐美華」 -> 標記為 「人名」
「張小明」 -> 標記為 「人名」
「周美華」 -> 標記為 「人名」
「趙小明」 -> 標記為 「人名」
「黃美華」 -> 標記為 「人名」
「徐玉珍」 -> 標記為 「人名」
「吳玉珍」 -> 標記為 「人名」
「周玉珍」 -> 標記為 「人名」

==============================

--- False Negatives (FN): 0 ---
(系統遺漏標記的真實名字)
格式: [原始詞] -> [錯誤動作]
----------------------------------


==============================

--- False Positives (FP): 0 ---
(系統錯誤標記的非名字詞彙)
格式: [原始詞] -> [錯誤動作]
----------------------------------


==============================

--- True Negatives (TN): 1410 ---
(系統正確保留的非名字詞彙)
格式: [原始詞] -> [標記結果]
----------------------------------
「資安」 -> 保留為 「資安」
「日誌」 -> 保留為 「日誌」
「顯示」 -> 保留為 「顯示」
「有」 -> 保留為 「有」
「執行」 -> 保留為 「執行」
「可疑」 -> 保留為 「可疑」
「程式」 -> 保留為 「程式」
「紀錄」 -> 保留為 「紀錄」
「行為」 -> 保留為 「行為」
「與」 -> 保留為 「與」
「內部」 -> 保留為 「內部」
「釣魚」 -> 保留為 「釣魚」
「測試」 -> 保留為 「測試」
「樣本」 -> 保留為 「樣本」
「相符」 -> 保留為 「相符」
「資安」 -> 保留為 「資安」
「日誌」 -> 保留為 「日誌」
「顯示」 -> 保留為 「顯示」
「有」 -> 保留為 「有」
「執行」 -> 保留為 「執行」
「可疑」 -> 保留為 「可疑」
「程式」 -> 保留為 「程式」
「紀錄」 -> 保留為 「紀錄」
「行為」 -> 保留為 「行為」
「與」 -> 保留為 「與」
「內部」 -> 保留為 「內部」
「釣魚」 -> 保留為 「釣魚」
「測試」 -> 保留為 「測試」
「樣本」 -> 保留為 「樣本」
「相符」 -> 保留為 「相符」
「涉及」 -> 保留為 「涉及」
「同時」 -> 保留為 「同時」
「連線至」 -> 保留為 「連線至」
「敏感」 -> 保留為 「敏感」
「伺服器」 -> 保留為 「伺服器」
「疑似」 -> 保留為 「疑似」
「為」 -> 保留為 「為」
「協同」 -> 保留為 「協同」
「行為」 -> 保留為 「行為」
「已」 -> 保留為 「已」
「通報」 -> 保留為 「通報」
「與」 -> 保留為 「與」
「兩」 -> 保留為 「兩」
「人」 -> 保留為 「人」
「帳號」 -> 保留為 「帳號」
「行為」 -> 保留為 「行為」
「出現」 -> 保留為 「出現」
「異常」 -> 保留為 「異常」
「登入」 -> 保留為 「登入」
「與」 -> 保留為 「與」
「資料」 -> 保留為 「資料」
「外傳」 -> 保留為 「外傳」
「跡象」 -> 保留為 「跡象」
「需」 -> 保留為 「需」
「啟動」 -> 保留為 「啟動」
「內部」 -> 保留為 「內部」
「調查」 -> 保留為 「調查」
「涉及」 -> 保留為 「涉及」
「同時」 -> 保留為 「同時」
「連線至」 -> 保留為 「連線至」
「敏感」 -> 保留為 「敏感」
「伺服器」 -> 保留為 「伺服器」
「疑似」 -> 保留為 「疑似」
「為」 -> 保留為 「為」
「協同」 -> 保留為 「協同」
「行為」 -> 保留為 「行為」
「已」 -> 保留為 「已」
「通報」 -> 保留為 「通報」
「與」 -> 保留為 「與」
「兩」 -> 保留為 「兩」
「人」 -> 保留為 「人」
「帳號」 -> 保留為 「帳號」
「行為」 -> 保留為 「行為」
「出現」 -> 保留為 「出現」
「異常」 -> 保留為 「異常」
「登入」 -> 保留為 「登入」
「與」 -> 保留為 「與」
「資料」 -> 保留為 「資料」
「外傳」 -> 保留為 「外傳」
「跡象」 -> 保留為 「跡象」
「需」 -> 保留為 「需」
「啟動」 -> 保留為 「啟動」
「內部」 -> 保留為 「內部」
「調查」 -> 保留為 「調查」
「被」 -> 保留為 「被」
「記錄」 -> 保留為 「記錄」
「於」 -> 保留為 「於」
「凌晨」 -> 保留為 「凌晨」
「執行」 -> 保留為 「執行」
「高風險」 -> 保留為 「高風險」
「腳本」 -> 保留為 「腳本」
「並」 -> 保留為 「並」
「嘗試」 -> 保留為 「嘗試」
「上」 -> 保留為 「上」
「傳至」 -> 保留為 「傳至」
「外部」 -> 保留為 「外部」
「雲端」 -> 保留為 「雲端」
「觸發」 -> 保留為 「觸發」
「偵測」 -> 保留為 「偵測」
「在」 -> 保留為 「在」
「短」 -> 保留為 「短」
「時間」 -> 保留為 「時間」
「內」 -> 保留為 「內」
「連線」 -> 保留為 「連線」
「不同」 -> 保留為 「不同」
「主機」 -> 保留為 「主機」
「並」 -> 保留為 「並」
「上傳」 -> 保留為 「上傳」
「壓縮檔」 -> 保留為 「壓縮檔」
「風險」 -> 保留為 「風險」
「等級」 -> 保留為 「等級」
「列為」 -> 保留為 「列為」
「重大」 -> 保留為 「重大」
「被」 -> 保留為 「被」
「記錄」 -> 保留為 「記錄」
「於」 -> 保留為 「於」
「凌晨」 -> 保留為 「凌晨」
「執行」 -> 保留為 「執行」
「高風險」 -> 保留為 「高風險」
「腳本」 -> 保留為 「腳本」
「並」 -> 保留為 「並」
「嘗試」 -> 保留為 「嘗試」
「上」 -> 保留為 「上」
「傳至」 -> 保留為 「傳至」
「外部」 -> 保留為 「外部」
「雲端」 -> 保留為 「雲端」
「觸發」 -> 保留為 「觸發」
「偵測」 -> 保留為 「偵測」
「被」 -> 保留為 「被」
「記錄」 -> 保留為 「記錄」
「於」 -> 保留為 「於」
「凌晨」 -> 保留為 「凌晨」
「執行」 -> 保留為 「執行」
「高風險」 -> 保留為 「高風險」
「腳本」 -> 保留為 「腳本」
「並」 -> 保留為 「並」
「嘗試」 -> 保留為 「嘗試」
「上」 -> 保留為 「上」
「傳至」 -> 保留為 「傳至」
「外部」 -> 保留為 「外部」
「雲端」 -> 保留為 「雲端」
「觸發」 -> 保留為 「觸發」
「偵測」 -> 保留為 「偵測」
「涉及」 -> 保留為 「涉及」
「同時」 -> 保留為 「同時」
「連線至」 -> 保留為 「連線至」
「敏感」 -> 保留為 「敏感」
「伺服器」 -> 保留為 「伺服器」
「疑似」 -> 保留為 「疑似」
「為」 -> 保留為 「為」
「協同」 -> 保留為 「協同」
「行為」 -> 保留為 「行為」
「已」 -> 保留為 「已」
「通報」 -> 保留為 「通報」
「涉及」 -> 保留為 「涉及」
「同時」 -> 保留為 「同時」
「連線至」 -> 保留為 「連線至」
「敏感」 -> 保留為 「敏感」
「伺服器」 -> 保留為 「伺服器」
「疑似」 -> 保留為 「疑似」
「為」 -> 保留為 「為」
「協同」 -> 保留為 「協同」
「行為」 -> 保留為 「行為」
「已」 -> 保留為 「已」
「通報」 -> 保留為 「通報」
「在」 -> 保留為 「在」
「短」 -> 保留為 「短」
「時間」 -> 保留為 「時間」
「內」 -> 保留為 「內」
「連線」 -> 保留為 「連線」
「不同」 -> 保留為 「不同」
「主機」 -> 保留為 「主機」
「並」 -> 保留為 「並」
「上傳」 -> 保留為 「上傳」
「壓縮檔」 -> 保留為 「壓縮檔」
「風險」 -> 保留為 「風險」
「等級」 -> 保留為 「等級」
「列為」 -> 保留為 「列為」
「重大」 -> 保留為 「重大」
「被」 -> 保留為 「被」
「記錄」 -> 保留為 「記錄」
「於」 -> 保留為 「於」
「凌晨」 -> 保留為 「凌晨」
「執行」 -> 保留為 「執行」
「高風險」 -> 保留為 「高風險」
「腳本」 -> 保留為 「腳本」
「並」 -> 保留為 「並」
「嘗試」 -> 保留為 「嘗試」
「上」 -> 保留為 「上」
「傳至」 -> 保留為 「傳至」
「外部」 -> 保留為 「外部」
「雲端」 -> 保留為 「雲端」
「觸發」 -> 保留為 「觸發」
「偵測」 -> 保留為 「偵測」
「在」 -> 保留為 「在」
「短」 -> 保留為 「短」
「時間」 -> 保留為 「時間」
「內」 -> 保留為 「內」
「連線」 -> 保留為 「連線」
「不同」 -> 保留為 「不同」
「主機」 -> 保留為 「主機」
「並」 -> 保留為 「並」
「上傳」 -> 保留為 「上傳」
「壓縮檔」 -> 保留為 「壓縮檔」
「風險」 -> 保留為 「風險」
「等級」 -> 保留為 「等級」
「列為」 -> 保留為 「列為」
「重大」 -> 保留為 「重大」
「在」 -> 保留為 「在」
「短」 -> 保留為 「短」
「時間」 -> 保留為 「時間」
「內」 -> 保留為 「內」
「連線」 -> 保留為 「連線」
「不同」 -> 保留為 「不同」
「主機」 -> 保留為 「主機」
「並」 -> 保留為 「並」
「上傳」 -> 保留為 「上傳」
「壓縮檔」 -> 保留為 「壓縮檔」
「風險」 -> 保留為 「風險」
「等級」 -> 保留為 「等級」
「列為」 -> 保留為 「列為」
「重大」 -> 保留為 「重大」
「涉及」 -> 保留為 「涉及」
「同時」 -> 保留為 「同時」
「連線至」 -> 保留為 「連線至」
「敏感」 -> 保留為 「敏感」
「伺服器」 -> 保留為 「伺服器」
「疑似」 -> 保留為 「疑似」
「為」 -> 保留為 「為」
「協同」 -> 保留為 「協同」
「行為」 -> 保留為 「行為」
「已」 -> 保留為 「已」
「通報」 -> 保留為 「通報」
「資安」 -> 保留為 「資安」
「日誌」 -> 保留為 「日誌」
「顯示」 -> 保留為 「顯示」
「有」 -> 保留為 「有」
「執行」 -> 保留為 「執行」
「可疑」 -> 保留為 「可疑」
「程式」 -> 保留為 「程式」
「紀錄」 -> 保留為 「紀錄」
「行為」 -> 保留為 「行為」
「與」 -> 保留為 「與」
「內部」 -> 保留為 「內部」
「釣魚」 -> 保留為 「釣魚」
「測試」 -> 保留為 「測試」
「樣本」 -> 保留為 「樣本」
「相符」 -> 保留為 「相符」
「在」 -> 保留為 「在」
「短」 -> 保留為 「短」
「時間」 -> 保留為 「時間」
「內」 -> 保留為 「內」
「連線」 -> 保留為 「連線」
「不同」 -> 保留為 「不同」
「主機」 -> 保留為 「主機」
「並」 -> 保留為 「並」
「上傳」 -> 保留為 「上傳」
「壓縮檔」 -> 保留為 「壓縮檔」
「風險」 -> 保留為 「風險」
「等級」 -> 保留為 「等級」
「列為」 -> 保留為 「列為」
「重大」 -> 保留為 「重大」
「涉及」 -> 保留為 「涉及」
「同時」 -> 保留為 「同時」
「連線至」 -> 保留為 「連線至」
「敏感」 -> 保留為 「敏感」
「伺服器」 -> 保留為 「伺服器」
「疑似」 -> 保留為 「疑似」
「為」 -> 保留為 「為」
「協同」 -> 保留為 「協同」
「行為」 -> 保留為 「行為」
「已」 -> 保留為 「已」
「通報」 -> 保留為 「通報」
「在」 -> 保留為 「在」
「短」 -> 保留為 「短」
「時間」 -> 保留為 「時間」
「內」 -> 保留為 「內」
「連線」 -> 保留為 「連線」
「不同」 -> 保留為 「不同」
「主機」 -> 保留為 「主機」
「並」 -> 保留為 「並」
「上傳」 -> 保留為 「上傳」
「壓縮檔」 -> 保留為 「壓縮檔」
「風險」 -> 保留為 「風險」
「等級」 -> 保留為 「等級」
「列為」 -> 保留為 「列為」
「重大」 -> 保留為 「重大」
「資安」 -> 保留為 「資安」
「日誌」 -> 保留為 「日誌」
「顯示」 -> 保留為 「顯示」
「有」 -> 保留為 「有」
「執行」 -> 保留為 「執行」
「可疑」 -> 保留為 「可疑」
「程式」 -> 保留為 「程式」
「紀錄」 -> 保留為 「紀錄」
「行為」 -> 保留為 「行為」
「與」 -> 保留為 「與」
「內部」 -> 保留為 「內部」
「釣魚」 -> 保留為 「釣魚」
「測試」 -> 保留為 「測試」
「樣本」 -> 保留為 「樣本」
「相符」 -> 保留為 「相符」
「與」 -> 保留為 「與」
「兩」 -> 保留為 「兩」
「人」 -> 保留為 「人」
「帳號」 -> 保留為 「帳號」
「行為」 -> 保留為 「行為」
「出現」 -> 保留為 「出現」
「異常」 -> 保留為 「異常」
「登入」 -> 保留為 「登入」
「與」 -> 保留為 「與」
「資料」 -> 保留為 「資料」
「外傳」 -> 保留為 「外傳」
「跡象」 -> 保留為 「跡象」
「需」 -> 保留為 「需」
「啟動」 -> 保留為 「啟動」
「內部」 -> 保留為 「內部」
「調查」 -> 保留為 「調查」
「涉及」 -> 保留為 「涉及」
「同時」 -> 保留為 「同時」
「連線至」 -> 保留為 「連線至」
「敏感」 -> 保留為 「敏感」
「伺服器」 -> 保留為 「伺服器」
「疑似」 -> 保留為 「疑似」
「為」 -> 保留為 「為」
「協同」 -> 保留為 「協同」
「行為」 -> 保留為 「行為」
「已」 -> 保留為 「已」
「通報」 -> 保留為 「通報」
「資安」 -> 保留為 「資安」
「日誌」 -> 保留為 「日誌」
「顯示」 -> 保留為 「顯示」
「有」 -> 保留為 「有」
「執行」 -> 保留為 「執行」
「可疑」 -> 保留為 「可疑」
「程式」 -> 保留為 「程式」
「紀錄」 -> 保留為 「紀錄」
「行為」 -> 保留為 「行為」
「與」 -> 保留為 「與」
「內部」 -> 保留為 「內部」
「釣魚」 -> 保留為 「釣魚」
「測試」 -> 保留為 「測試」
「樣本」 -> 保留為 「樣本」
「相符」 -> 保留為 「相符」
「資安」 -> 保留為 「資安」
「日誌」 -> 保留為 「日誌」
「顯示」 -> 保留為 「顯示」
「有」 -> 保留為 「有」
「執行」 -> 保留為 「執行」
「可疑」 -> 保留為 「可疑」
「程式」 -> 保留為 「程式」
「紀錄」 -> 保留為 「紀錄」
「行為」 -> 保留為 「行為」
「與」 -> 保留為 「與」
「內部」 -> 保留為 「內部」
「釣魚」 -> 保留為 「釣魚」
「測試」 -> 保留為 「測試」
「樣本」 -> 保留為 「樣本」
「相符」 -> 保留為 「相符」
「與」 -> 保留為 「與」
「兩」 -> 保留為 「兩」
「人」 -> 保留為 「人」
「帳號」 -> 保留為 「帳號」
「行為」 -> 保留為 「行為」
「出現」 -> 保留為 「出現」
「異常」 -> 保留為 「異常」
「登入」 -> 保留為 「登入」
「與」 -> 保留為 「與」
「資料」 -> 保留為 「資料」
「外傳」 -> 保留為 「外傳」
「跡象」 -> 保留為 「跡象」
「需」 -> 保留為 「需」
「啟動」 -> 保留為 「啟動」
「內部」 -> 保留為 「內部」
「調查」 -> 保留為 「調查」
「涉及」 -> 保留為 「涉及」
「同時」 -> 保留為 「同時」
「連線至」 -> 保留為 「連線至」
「敏感」 -> 保留為 「敏感」
「伺服器」 -> 保留為 「伺服器」
「疑似」 -> 保留為 「疑似」
「為」 -> 保留為 「為」
「協同」 -> 保留為 「協同」
「行為」 -> 保留為 「行為」
「已」 -> 保留為 「已」
「通報」 -> 保留為 「通報」
「資安」 -> 保留為 「資安」
「日誌」 -> 保留為 「日誌」
「顯示」 -> 保留為 「顯示」
「有」 -> 保留為 「有」
「執行」 -> 保留為 「執行」
「可疑」 -> 保留為 「可疑」
「程式」 -> 保留為 「程式」
「紀錄」 -> 保留為 「紀錄」
「行為」 -> 保留為 「行為」
「與」 -> 保留為 「與」
「內部」 -> 保留為 「內部」
「釣魚」 -> 保留為 「釣魚」
「測試」 -> 保留為 「測試」
「樣本」 -> 保留為 「樣本」
「相符」 -> 保留為 「相符」
「與」 -> 保留為 「與」
「兩」 -> 保留為 「兩」
「人」 -> 保留為 「人」
「帳號」 -> 保留為 「帳號」
「行為」 -> 保留為 「行為」
「出現」 -> 保留為 「出現」
「異常」 -> 保留為 「異常」
「登入」 -> 保留為 「登入」
「與」 -> 保留為 「與」
「資料」 -> 保留為 「資料」
「外傳」 -> 保留為 「外傳」
「跡象」 -> 保留為 「跡象」
「需」 -> 保留為 「需」
「啟動」 -> 保留為 「啟動」
「內部」 -> 保留為 「內部」
「調查」 -> 保留為 「調查」
「資安」 -> 保留為 「資安」
「日誌」 -> 保留為 「日誌」
「顯示」 -> 保留為 「顯示」
「有」 -> 保留為 「有」
「執行」 -> 保留為 「執行」
「可疑」 -> 保留為 「可疑」
「程式」 -> 保留為 「程式」
「紀錄」 -> 保留為 「紀錄」
「行為」 -> 保留為 「行為」
「與」 -> 保留為 「與」
「內部」 -> 保留為 「內部」
「釣魚」 -> 保留為 「釣魚」
「測試」 -> 保留為 「測試」
「樣本」 -> 保留為 「樣本」
「相符」 -> 保留為 「相符」
「在」 -> 保留為 「在」
「短」 -> 保留為 「短」
「時間」 -> 保留為 「時間」
「內」 -> 保留為 「內」
「連線」 -> 保留為 「連線」
「不同」 -> 保留為 「不同」
「主機」 -> 保留為 「主機」
「並」 -> 保留為 「並」
「上傳」 -> 保留為 「上傳」
「壓縮檔」 -> 保留為 「壓縮檔」
「風險」 -> 保留為 「風險」
「等級」 -> 保留為 「等級」
「列為」 -> 保留為 「列為」
「重大」 -> 保留為 「重大」
「資安」 -> 保留為 「資安」
「日誌」 -> 保留為 「日誌」
「顯示」 -> 保留為 「顯示」
「有」 -> 保留為 「有」
