--- 評估結果總結 ---
「台灣資安實驗室」 -> 標記為「組織」
「工研院資訊組」 -> 標記為「組織」
「澎湖科技大學」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「華碩電腦公司」 -> 標記為「組織」
「南部資安聯盟」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「宏碁股份有限公司」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「華碩電腦公司」 -> 標記為「組織」
「宏碁股份有限公司」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「工研院資訊組」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「南部資安聯盟」 -> 標記為「組織」
「工研院資訊組」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「宏碁股份有限公司」 -> 標記為「組織」
「宏碁股份有限公司」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「工研院資訊組」 -> 標記為「組織」
「宏碁股份有限公司」 -> 標記為「組織」
「南部資安聯盟」 -> 標記為「組織」
「澎湖科技大學」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「宏碁股份有限公司」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「高雄智慧安全院」 -> 標記為「組織」
「南部資安聯盟」 -> 標記為「組織」
「澎湖科技大學」 -> 標記為「組織」
「華碩電腦公司」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「工研院資訊組」 -> 標記為「組織」
「宏碁股份有限公司」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「澎湖科技大學」 -> 標記為「組織」
「南部資安聯盟」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「南部資安聯盟」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「高雄智慧安全院」 -> 標記為「組織」
「華碩電腦公司」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「澎湖科技大學」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「南部資安聯盟」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「澎湖科技大學」 -> 標記為「組織」
「南部資安聯盟」 -> 標記為「組織」
「澎湖科技大學」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「高雄智慧安全院」 -> 標記為「組織」
「高雄智慧安全院」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「華碩電腦公司」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「澎湖科技大學」 -> 標記為「組織」
「宏碁股份有限公司」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「澎湖科技大學」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「南部資安聯盟」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「華碩電腦公司」 -> 標記為「組織」
「高雄智慧安全院」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「工研院資訊組」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「工研院資訊組」 -> 標記為「組織」
「高雄智慧安全院」 -> 標記為「組織」
「宏碁股份有限公司」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「工研院資訊組」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「宏碁股份有限公司」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「華碩電腦公司」 -> 標記為「組織」
「高雄智慧安全院」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「工研院資訊組」 -> 標記為「組織」
「華碩電腦公司」 -> 標記為「組織」
「宏碁股份有限公司」 -> 標記為「組織」
「南部資安聯盟」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「高雄智慧安全院」 -> 標記為「組織」
「澎湖科技大學」 -> 標記為「組織」
「南部資安聯盟」 -> 標記為「組織」
「南部資安聯盟」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「華碩電腦公司」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「澎湖科技大學」 -> 標記為「組織」
「華碩電腦公司」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「工研院資訊組」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「南部資安聯盟」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「高雄智慧安全院」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「澎湖科技大學」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「南部資安聯盟」 -> 標記為「組織」
「宏碁股份有限公司」 -> 標記為「組織」
「高雄智慧安全院」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「華碩電腦公司」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「華碩電腦公司」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「澎湖科技大學」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「工研院資訊組」 -> 標記為「組織」
「南部資安聯盟」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「工研院資訊組」 -> 標記為「組織」
「高雄智慧安全院」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「高雄智慧安全院」 -> 標記為「組織」
「高雄智慧安全院」 -> 標記為「組織」
「南部資安聯盟」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「工研院資訊組」 -> 標記為「組織」
「澎湖科技大學」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「華碩電腦公司」 -> 標記為「組織」
「宏碁股份有限公司」 -> 標記為「組織」
「華碩電腦公司」 -> 標記為「組織」
「澎湖科技大學」 -> 標記為「組織」
「工研院資訊組」 -> 標記為「組織」
「工研院資訊組」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「南部資安聯盟」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「宏碁股份有限公司」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「宏碁股份有限公司」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「高雄智慧安全院」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「澎湖科技大學」 -> 標記為「組織」
「宏碁股份有限公司」 -> 標記為「組織」
「高雄智慧安全院」 -> 標記為「組織」
「澎湖科技大學」 -> 標記為「組織」
「宏碁股份有限公司」 -> 標記為「組織」
「南部資安聯盟」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「高雄智慧安全院」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「工研院資訊組」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「高雄智慧安全院」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「南部資安聯盟」 -> 標記為「組織」
「宏碁股份有限公司」 -> 標記為「組織」
「澎湖科技大學」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「宏碁股份有限公司」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「高雄智慧安全院」 -> 標記為「組織」
「工研院資訊組」 -> 標記為「組織」
「宏碁股份有限公司」 -> 標記為「組織」
「澎湖科技大學」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「華碩電腦公司」 -> 標記為「組織」
「南部資安聯盟」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「華碩電腦公司」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「高雄智慧安全院」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「高雄智慧安全院」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「工研院資訊組」 -> 標記為「組織」
「宏碁股份有限公司」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」

==============================

--- False Negatives (FN): 0 ---
(系統遺漏標記的真實組織名稱)
格式: [原始詞] -> [錯誤動作]
----------------------------------


==============================

--- False Positives (FP): 0 ---
(系統錯誤標記的非組織詞彙)
格式: [原始詞] -> [錯誤動作]
----------------------------------


==============================

--- True Negatives (TN): 1191 ---
(系統正確保留的非組織詞彙)
格式: [原始詞] -> [標記結果]
----------------------------------
「被」 -> 保留為「被」
「列為」 -> 保留為「列為」
「疑似」 -> 保留為「疑似」
「供應鏈」 -> 保留為「供應鏈」
「攻擊」 -> 保留為「攻擊」
「波及」 -> 保留為「波及」
「名單」 -> 保留為「名單」
「系統」 -> 保留為「系統」
「指紋」 -> 保留為「指紋」
「與」 -> 保留為「與」
「知名」 -> 保留為「知名」
「樣本」 -> 保留為「樣本」
「相符」 -> 保留為「相符」
「回報」 -> 保留為「回報」
「勒索」 -> 保留為「勒索」
「信件」 -> 保留為「信件」
「偽冒」 -> 保留為「偽冒」
「內部」 -> 保留為「內部」
「信箱」 -> 保留為「信箱」
「寄出」 -> 保留為「寄出」
「已」 -> 保留為「已」
「介入」 -> 保留為「介入」
「分析」 -> 保留為「分析」
「與」 -> 保留為「與」
「同步」 -> 保留為「同步」
「遭遇」 -> 保留為「遭遇」
「憑證」 -> 保留為「憑證」
「濫用」 -> 保留為「濫用」
「情形」 -> 保留為「情形」
「已」 -> 保留為「已」
「由」 -> 保留為「由」
「防火牆」 -> 保留為「防火牆」
「阻擋」 -> 保留為「阻擋」
「相關」 -> 保留為「相關」
「流量」 -> 保留為「流量」
「近期」 -> 保留為「近期」
「遭遇」 -> 保留為「遭遇」
「大量」 -> 保留為「大量」
「惡意」 -> 保留為「惡意」
「登入」 -> 保留為「登入」
「請求」 -> 保留為「請求」
「疑似」 -> 保留為「疑似」
「被」 -> 保留為「被」
「列入」 -> 保留為「列入」
「掃描」 -> 保留為「掃描」
「目標」 -> 保留為「目標」
「與」 -> 保留為「與」
「同步」 -> 保留為「同步」
「遭遇」 -> 保留為「遭遇」
「憑證」 -> 保留為「憑證」
「濫用」 -> 保留為「濫用」
「情形」 -> 保留為「情形」
「已」 -> 保留為「已」
「由」 -> 保留為「由」
「防火牆」 -> 保留為「防火牆」
「阻擋」 -> 保留為「阻擋」
「相關」 -> 保留為「相關」
「流量」 -> 保留為「流量」
「回報」 -> 保留為「回報」
「多」 -> 保留為「多」
「筆」 -> 保留為「筆」
「主機」 -> 保留為「主機」
「異常」 -> 保留為「異常」
「登入」 -> 保留為「登入」
「行為」 -> 保留為「行為」
「經」 -> 保留為「經」
「調查」 -> 保留為「調查」
「與」 -> 保留為「與」
「釣魚」 -> 保留為「釣魚」
「攻擊」 -> 保留為「攻擊」
「事件」 -> 保留為「事件」
「高度」 -> 保留為「高度」
「相關」 -> 保留為「相關」
「回報」 -> 保留為「回報」
「多」 -> 保留為「多」
「筆」 -> 保留為「筆」
「主機」 -> 保留為「主機」
「異常」 -> 保留為「異常」
「登入」 -> 保留為「登入」
「行為」 -> 保留為「行為」
「經」 -> 保留為「經」
「調查」 -> 保留為「調查」
「與」 -> 保留為「與」
「釣魚」 -> 保留為「釣魚」
「攻擊」 -> 保留為「攻擊」
「事件」 -> 保留為「事件」
「高度」 -> 保留為「高度」
「相關」 -> 保留為「相關」
「被」 -> 保留為「被」
「列為」 -> 保留為「列為」
「疑似」 -> 保留為「疑似」
「供應鏈」 -> 保留為「供應鏈」
「攻擊」 -> 保留為「攻擊」
「波及」 -> 保留為「波及」
「名單」 -> 保留為「名單」
「系統」 -> 保留為「系統」
「指紋」 -> 保留為「指紋」
「與」 -> 保留為「與」
「知名」 -> 保留為「知名」
「樣本」 -> 保留為「樣本」
「相符」 -> 保留為「相符」
「回報」 -> 保留為「回報」
「多」 -> 保留為「多」
「筆」 -> 保留為「筆」
「主機」 -> 保留為「主機」
「異常」 -> 保留為「異常」
「登入」 -> 保留為「登入」
「行為」 -> 保留為「行為」
「經」 -> 保留為「經」
「調查」 -> 保留為「調查」
「與」 -> 保留為「與」
「釣魚」 -> 保留為「釣魚」
「攻擊」 -> 保留為「攻擊」
「事件」 -> 保留為「事件」
「高度」 -> 保留為「高度」
「相關」 -> 保留為「相關」
「近期」 -> 保留為「近期」
「遭遇」 -> 保留為「遭遇」
「大量」 -> 保留為「大量」
「惡意」 -> 保留為「惡意」
「登入」 -> 保留為「登入」
「請求」 -> 保留為「請求」
「疑似」 -> 保留為「疑似」
「被」 -> 保留為「被」
「列入」 -> 保留為「列入」
「掃描」 -> 保留為「掃描」
「目標」 -> 保留為「目標」
「近期」 -> 保留為「近期」
「遭遇」 -> 保留為「遭遇」
「大量」 -> 保留為「大量」
「惡意」 -> 保留為「惡意」
「登入」 -> 保留為「登入」
「請求」 -> 保留為「請求」
「疑似」 -> 保留為「疑似」
「被」 -> 保留為「被」
「列入」 -> 保留為「列入」
「掃描」 -> 保留為「掃描」
「目標」 -> 保留為「目標」
「回報」 -> 保留為「回報」
「多」 -> 保留為「多」
「筆」 -> 保留為「筆」
「主機」 -> 保留為「主機」
「異常」 -> 保留為「異常」
「登入」 -> 保留為「登入」
「行為」 -> 保留為「行為」
「經」 -> 保留為「經」
「調查」 -> 保留為「調查」
「與」 -> 保留為「與」
「釣魚」 -> 保留為「釣魚」
「攻擊」 -> 保留為「攻擊」
「事件」 -> 保留為「事件」
「高度」 -> 保留為「高度」
「相關」 -> 保留為「相關」
「回報」 -> 保留為「回報」
「多」 -> 保留為「多」
「筆」 -> 保留為「筆」
「主機」 -> 保留為「主機」
「異常」 -> 保留為「異常」
「登入」 -> 保留為「登入」
「行為」 -> 保留為「行為」
「經」 -> 保留為「經」
「調查」 -> 保留為「調查」
「與」 -> 保留為「與」
「釣魚」 -> 保留為「釣魚」
「攻擊」 -> 保留為「攻擊」
「事件」 -> 保留為「事件」
「高度」 -> 保留為「高度」
「相關」 -> 保留為「相關」
「近期」 -> 保留為「近期」
「遭遇」 -> 保留為「遭遇」
「大量」 -> 保留為「大量」
「惡意」 -> 保留為「惡意」
「登入」 -> 保留為「登入」
「請求」 -> 保留為「請求」
「疑似」 -> 保留為「疑似」
「被」 -> 保留為「被」
「列入」 -> 保留為「列入」
「掃描」 -> 保留為「掃描」
「目標」 -> 保留為「目標」
「回報」 -> 保留為「回報」
「勒索」 -> 保留為「勒索」
「信件」 -> 保留為「信件」
「偽冒」 -> 保留為「偽冒」
「內部」 -> 保留為「內部」
「信箱」 -> 保留為「信箱」
「寄出」 -> 保留為「寄出」
「已」 -> 保留為「已」
「介入」 -> 保留為「介入」
「分析」 -> 保留為「分析」
「與」 -> 保留為「與」
「同步」 -> 保留為「同步」
「遭遇」 -> 保留為「遭遇」
「憑證」 -> 保留為「憑證」
「濫用」 -> 保留為「濫用」
「情形」 -> 保留為「情形」
「已」 -> 保留為「已」
「由」 -> 保留為「由」
「防火牆」 -> 保留為「防火牆」
「阻擋」 -> 保留為「阻擋」
「相關」 -> 保留為「相關」
「流量」 -> 保留為「流量」
「與」 -> 保留為「與」
「同步」 -> 保留為「同步」
「遭遇」 -> 保留為「遭遇」
「憑證」 -> 保留為「憑證」
「濫用」 -> 保留為「濫用」
「情形」 -> 保留為「情形」
「已」 -> 保留為「已」
「由」 -> 保留為「由」
「防火牆」 -> 保留為「防火牆」
「阻擋」 -> 保留為「阻擋」
「相關」 -> 保留為「相關」
「流量」 -> 保留為「流量」
「近期」 -> 保留為「近期」
「遭遇」 -> 保留為「遭遇」
「大量」 -> 保留為「大量」
「惡意」 -> 保留為「惡意」
「登入」 -> 保留為「登入」
「請求」 -> 保留為「請求」
「疑似」 -> 保留為「疑似」
「被」 -> 保留為「被」
「列入」 -> 保留為「列入」
「掃描」 -> 保留為「掃描」
「目標」 -> 保留為「目標」
「回報」 -> 保留為「回報」
「勒索」 -> 保留為「勒索」
「信件」 -> 保留為「信件」
「偽冒」 -> 保留為「偽冒」
「內部」 -> 保留為「內部」
「信箱」 -> 保留為「信箱」
「寄出」 -> 保留為「寄出」
「已」 -> 保留為「已」
「介入」 -> 保留為「介入」
「分析」 -> 保留為「分析」
「回報」 -> 保留為「回報」
「多」 -> 保留為「多」
「筆」 -> 保留為「筆」
「主機」 -> 保留為「主機」
「異常」 -> 保留為「異常」
「登入」 -> 保留為「登入」
「行為」 -> 保留為「行為」
「經」 -> 保留為「經」
「調查」 -> 保留為「調查」
「與」 -> 保留為「與」
「釣魚」 -> 保留為「釣魚」
「攻擊」 -> 保留為「攻擊」
「事件」 -> 保留為「事件」
「高度」 -> 保留為「高度」
「相關」 -> 保留為「相關」
「被」 -> 保留為「被」
「列為」 -> 保留為「列為」
「疑似」 -> 保留為「疑似」
「供應鏈」 -> 保留為「供應鏈」
「攻擊」 -> 保留為「攻擊」
「波及」 -> 保留為「波及」
「名單」 -> 保留為「名單」
「系統」 -> 保留為「系統」
「指紋」 -> 保留為「指紋」
「與」 -> 保留為「與」
「知名」 -> 保留為「知名」
「樣本」 -> 保留為「樣本」
「相符」 -> 保留為「相符」
「近期」 -> 保留為「近期」
「遭遇」 -> 保留為「遭遇」
「大量」 -> 保留為「大量」
「惡意」 -> 保留為「惡意」
「登入」 -> 保留為「登入」
「請求」 -> 保留為「請求」
「疑似」 -> 保留為「疑似」
「被」 -> 保留為「被」
「列入」 -> 保留為「列入」
「掃描」 -> 保留為「掃描」
「目標」 -> 保留為「目標」
「回報」 -> 保留為「回報」
「多」 -> 保留為「多」
「筆」 -> 保留為「筆」
「主機」 -> 保留為「主機」
「異常」 -> 保留為「異常」
「登入」 -> 保留為「登入」
「行為」 -> 保留為「行為」
「經」 -> 保留為「經」
「調查」 -> 保留為「調查」
「與」 -> 保留為「與」
「釣魚」 -> 保留為「釣魚」
「攻擊」 -> 保留為「攻擊」
「事件」 -> 保留為「事件」
「高度」 -> 保留為「高度」
「相關」 -> 保留為「相關」
「被」 -> 保留為「被」
「列為」 -> 保留為「列為」
「疑似」 -> 保留為「疑似」
「供應鏈」 -> 保留為「供應鏈」
「攻擊」 -> 保留為「攻擊」
「波及」 -> 保留為「波及」
「名單」 -> 保留為「名單」
「系統」 -> 保留為「系統」
「指紋」 -> 保留為「指紋」
「與」 -> 保留為「與」
「知名」 -> 保留為「知名」
「樣本」 -> 保留為「樣本」
「相符」 -> 保留為「相符」
「回報」 -> 保留為「回報」
「多」 -> 保留為「多」
「筆」 -> 保留為「筆」
「主機」 -> 保留為「主機」
「異常」 -> 保留為「異常」
「登入」 -> 保留為「登入」
「行為」 -> 保留為「行為」
「經」 -> 保留為「經」
「調查」 -> 保留為「調查」
「與」 -> 保留為「與」
「釣魚」 -> 保留為「釣魚」
「攻擊」 -> 保留為「攻擊」
「事件」 -> 保留為「事件」
「高度」 -> 保留為「高度」
「相關」 -> 保留為「相關」
「與」 -> 保留為「與」
「同步」 -> 保留為「同步」
「遭遇」 -> 保留為「遭遇」
「憑證」 -> 保留為「憑證」
「濫用」 -> 保留為「濫用」
「情形」 -> 保留為「情形」
「已」 -> 保留為「已」
「由」 -> 保留為「由」
「防火牆」 -> 保留為「防火牆」
「阻擋」 -> 保留為「阻擋」
「相關」 -> 保留為「相關」
「流量」 -> 保留為「流量」
「與」 -> 保留為「與」
「同步」 -> 保留為「同步」
「遭遇」 -> 保留為「遭遇」
「憑證」 -> 保留為「憑證」
「濫用」 -> 保留為「濫用」
「情形」 -> 保留為「情形」
「已」 -> 保留為「已」
「由」 -> 保留為「由」
「防火牆」 -> 保留為「防火牆」
「阻擋」 -> 保留為「阻擋」
「相關」 -> 保留為「相關」
「流量」 -> 保留為「流量」
「近期」 -> 保留為「近期」
「遭遇」 -> 保留為「遭遇」
「大量」 -> 保留為「大量」
「惡意」 -> 保留為「惡意」
「登入」 -> 保留為「登入」
「請求」 -> 保留為「請求」
「疑似」 -> 保留為「疑似」
「被」 -> 保留為「被」
「列入」 -> 保留為「列入」
「掃描」 -> 保留為「掃描」
「目標」 -> 保留為「目標」
「回報」 -> 保留為「回報」
「多」 -> 保留為「多」
「筆」 -> 保留為「筆」
「主機」 -> 保留為「主機」
「異常」 -> 保留為「異常」
「登入」 -> 保留為「登入」
「行為」 -> 保留為「行為」
「經」 -> 保留為「經」
「調查」 -> 保留為「調查」
「與」 -> 保留為「與」
「釣魚」 -> 保留為「釣魚」
「攻擊」 -> 保留為「攻擊」
「事件」 -> 保留為「事件」
「高度」 -> 保留為「高度」
「相關」 -> 保留為「相關」
「近期」 -> 保留為「近期」
「遭遇」 -> 保留為「遭遇」
「大量」 -> 保留為「大量」
「惡意」 -> 保留為「惡意」
「登入」 -> 保留為「登入」
「請求」 -> 保留為「請求」
「疑似」 -> 保留為「疑似」
「被」 -> 保留為「被」
「列入」 -> 保留為「列入」
「掃描」 -> 保留為「掃描」
「目標」 -> 保留為「目標」
「回報」 -> 保留為「回報」
「勒索」 -> 保留為「勒索」
「信件」 -> 保留為「信件」
「偽冒」 -> 保留為「偽冒」
「內部」 -> 保留為「內部」
「信箱」 -> 保留為「信箱」
「寄出」 -> 保留為「寄出」
「已」 -> 保留為「已」
「介入」 -> 保留為「介入」
「分析」 -> 保留為「分析」
「回報」 -> 保留為「回報」
「勒索」 -> 保留為「勒索」
「信件」 -> 保留為「信件」
「偽冒」 -> 保留為「偽冒」
「內部」 -> 保留為「內部」
「信箱」 -> 保留為「信箱」
「寄出」 -> 保留為「寄出」
「已」 -> 保留為「已」
「介入」 -> 保留為「介入」
「分析」 -> 保留為「分析」
「回報」 -> 保留為「回報」
「多」 -> 保留為「多」
「筆」 -> 保留為「筆」
「主機」 -> 保留為「主機」
「異常」 -> 保留為「異常」
「登入」 -> 保留為「登入」
「行為」 -> 保留為「行為」
「經」 -> 保留為「經」
「調查」 -> 保留為「調查」
「與」 -> 保留為「與」
「釣魚」 -> 保留為「釣魚」
「攻擊」 -> 保留為「攻擊」
「事件」 -> 保留為「事件」
「高度」 -> 保留為「高度」
「相關」 -> 保留為「相關」
「被」 -> 保留為「被」
「列為」 -> 保留為「列為」
「疑似」 -> 保留為「疑似」
「供應鏈」 -> 保留為「供應鏈」
「攻擊」 -> 保留為「攻擊」
「波及」 -> 保留為「波及」
「名單」 -> 保留為「名單」
「系統」 -> 保留為「系統」
「指紋」 -> 保留為「指紋」
「與」 -> 保留為「與」
「知名」 -> 保留為「知名」
「樣本」 -> 保留為「樣本」
「相符」 -> 保留為「相符」
「近期」 -> 保留為「近期」
「遭遇」 -> 保留為「遭遇」
「大量」 -> 保留為「大量」
「惡意」 -> 保留為「惡意」
「登入」 -> 保留為「登入」
「請求」 -> 保留為「請求」
「疑似」 -> 保留為「疑似」
「被」 -> 保留為「被」
「列入」 -> 保留為「列入」
「掃描」 -> 保留為「掃描」
「目標」 -> 保留為「目標」
「回報」 -> 保留為「回報」
「勒索」 -> 保留為「勒索」
「信件」 -> 保留為「信件」
「偽冒」 -> 保留為「偽冒」
「內部」 -> 保留為「內部」
「信箱」 -> 保留為「信箱」
「寄出」 -> 保留為「寄出」
「已」 -> 保留為「已」
「介入」 -> 保留為「介入」
「分析」 -> 保留為「分析」
「與」 -> 保留為「與」
「同步」 -> 保留為「同步」
「遭遇」 -> 保留為「遭遇」
「憑證」 -> 保留為「憑證」
「濫用」 -> 保留為「濫用」
「情形」 -> 保留為「情形」
「已」 -> 保留為「已」
「由」 -> 保留為「由」
「防火牆」 -> 保留為「防火牆」
「阻擋」 -> 保留為「阻擋」
「相關」 -> 保留為「相關」
「流量」 -> 保留為「流量」
「被」 -> 保留為「被」
「列為」 -> 保留為「列為」
「疑似」 -> 保留為「疑似」
「供應鏈」 -> 保留為「供應鏈」
「攻擊」 -> 保留為「攻擊」
「波及」 -> 保留為「波及」
「名單」 -> 保留為「名單」
「系統」 -> 保留為「系統」
「指紋」 -> 保留為「指紋」
「與」 -> 保留為「與」
「知名」 -> 保留為「知名」
「樣本」 -> 保留為「樣本」
